"skillKind","skillID","skillName","owner","attribute","effect","targetType","isAttack","recastMax","recastMin","maxLevel","skillLvUp2","skillLvUp3","skillLvUp4","skillLvUp5","skillLvUp6","skillLvUp7","skillLvUp8","buffs","debuffs","specialEffects","numHits","skillMod","hpMod","defMod","spdMod","enemyHPMod","enemySPDMod"
"1","30","Non-stop Flame Assault","Sports Uniform Lilly","fire","Attack an enemy 3 times and inflict cut for 1 turn for each crit hit.","Single","TRUE","2","3","6","DMG +5%","DMG +5%","DMG +10%","DMG +10%","Recast Turns -1","","","","cut","","3","2.8","0","0","0","0","0"
"1","31","Magic Mist","Sports Uniform Hanabi","dark","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","32","Vampiric Bullet","Sports Uniform Hanabi","dark","Attack an enemy. All allies recover 30% of damage dealt.","Single","TRUE","2","3","4","DMG +10%","DMG +10%","Recast Turns -1","","","","","","","","1","5.8","0","0","0","0","0"
"1","33","Magic Mist","Sports Uniform Marianne","light","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","34","Sacred Zephyr","Sports Uniform Marianne","light","Restore 15% HP to one ally and grant 25% move gauge boost to all allies.","Single","FALSE","3","6","4","Recast Turns -1","Recast Turns -1","Recast Turns -1","","","","","move gauge boost","","","0","0","0","0","0","0","0"
"1","35","Magic Mist","Sports Uniform Iko","lightning","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","36","Lightning Assault","Sports Uniform Iko","lightning","Attack an enemy, with a 15% chance to inflict shock for 1 turn.","Single","TRUE","2","3","7","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Recast Turns -1","","","shock","","1","4.8","0","0","0","0","0"
"1","37","Exorcism Barrage","Cooking Apron Iroha","fire","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","38","Fire Slow","Cooking Apron Iroha","fire","Attack all enemies, with a 50% change to inflict 30% move gauge down","All","TRUE","3","4","8","Debuff Activation +5%","Debuff Activation +10%","DMG +5%","Debuff Activation +10%","DMG +10%","DMG +10%","Recast Turns -1","","move gauge down","","1","4.2","0","0","0","0","0"
"1","39","Exorcism Barrage","Cooking Apron Kaori","water","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","40","Flowing Wind","Cooking Apron Kaori","water","Grant 20% move gauge boost to all allies and grant SPD up for 2 turns.","All","FALSE","3","5","3","Recast Turns -1","Recast Turns -1","","","","","","move gauge boost,SPD up","","","0","0","0","0","0","0","0"
"1","41","Exorcism Barrage","Cooking Apron Seira","dark","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","42","Shadow Break","Cooking Apron Seira","dark","Attack an enemy, with a 30% chance to inflict DEF down for 2 turns","Single","TRUE","2","3","7","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","","DEF down","","1","4.6","0","0","0","0","0"
"1","43","Exorcism Barrage","Cooking Apron Cocoa","light","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","44","Cure Self","Cooking Apron Cocoa","light","Restore 30% of HP to one ally.","Single","FALSE","2","3","4","Heal Amount +10%","Heal Amount +10%","Recast Turns -1","","","","","","","","0","0","0","0","0","0","0"
"1","45","Exorcism Barrage","Cooking Apron Akisa","dark","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","46","Shadow Jam","Cooking Apron Akisa","dark","Attack an enemy twice, with a 30% chance for each attack inflict no recovery for 2 turns.","Single","TRUE","2","3","7","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","","no recovery","","2","2.9","0","0","0","0","0"
"1","47","Exorcism Barrage","Cooking Apron Ao","water","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","48","Ice Break","Cooking Apron Ao","water","Attack an enemy, with a 30% chance to inflict DEF down for 2 turns.","Single","TRUE","2","3","7","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","","DEF down","","1","4.9","0","0","0","0","0"
"1","49","Exorcism Barrage","Cooking Apron Aka","fire","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","50","Holy Flame Formation","Cooking Apron Aka","fire","Restore 20% of HP to all allies and grant ATK up for 2 turns.","All","FALSE","3","5","6","Heal Amount +10%","Heal Amount +10%","Heal Amount +10%","Recast Turns -1","Recast Turns -1","","","ATK up","","","0","0","0","0","0","0","0"
"1","51","Exorcism Barrage","Cooking Apron Eliza","lightning","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","52","Lightning Slow","Cooking Apron Eliza","lightning","Attack all enemies, with a 70% chance to inflict SPD down for 2 turns.","All","TRUE","3","4","5","DMG +5%","DMG +5%","DMG +10%","Recast Turns -1","","","","","SPD down","","1","4.1","0","0","0","0","0"
"1","53","Exorcism Barrage","Cooking Apron Lilly","fire","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","54","Fire Impact","Cooking Apron Lilly","fire","Attack an enemy, with an 80% chance to inflict stun for 1 turn.","Single","TRUE","2","3","8","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","stun","","1","5.6","0","0","0","0","0"
"1","55","Exorcism Barrage","Cooking Apron Hanabi","dark","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","56","Shadow Slow","Cooking Apron Hanabi","dark","Attack all enemies, with a 50% chance to inflict 30% move gauge down","All","TRUE","3","4","8","Debuff Activation +5%","Debuff Activation +10%","DMG +5%","Debuff Activation +10%","DMG +10%","DMG +10%","Recast Turns -1","","move gauge down","","1","4.2","0","0","0","0","0"
"1","57","Exorcism Barrage","Cooking Apron Marianne","light","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","58","Light Of Prayer","Cooking Apron Marianne","light","Restore 20% of HP to all allies.","All","FALSE","3","6","4","Recast Turns -1","Recast Turns -1","Recast Turns -1","","","","","","","","0","0","0","0","0","0","0"
"1","59","Exorcism Barrage","Cooking Apron Iko","lightning","Attack an enemy twice, with a 50% chance each to inflict ATK down for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","","ATK down","","2","2.1","0","0","0","0","0"
"1","60","Lightning Impact","Cooking Apron Iko","lightning","Attack an enemy, with an 80% chance to inflict stun for 1 turn.","Single","TRUE","2","3","8","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","stun","","1","5.7","0","0","0","0","0"
"1","61","Fire Spear","Casual Holiday Iroha","fire","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","62","Burning Heart","Casual Holiday Iroha","fire","Grant 20% move gauge boost to all allies, remove one debuff effect, and grant SPD up for 2 turns.","All","FALSE","4","6","3","Recast Turns -1","Recast Turns -1","","","","","","move gauge boost,SPD up,remove debuff","","","0","0","0","0","0","0","0"
"1","63","Ice Spear","Casual Holiday Kaori","water","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","64","Ice Spike","Casual Holiday Kaori","water","Attack an enemy with power that grows stronger in proportion to own DEF and inflict cut for 3 turns.","Single","TRUE","3","4","5","DMG +10%","DMG +10%","DMG +10%","Recast Turns -1","","","","","cut","","1","2.1","0","2.9","0","0","0"
"1","65","Dark Spear","Casual Holiday Seira","dark","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","66","Dark Shot","Casual Holiday Seira","dark","Attack 3 times at random.","Random","TRUE","2","3","5","DMG +10%","DMG +10%","DMG +10%","Recast Turns -1","","","","","","","3","1.7","0","0","0","0","0"
"1","67","Light Spear","Casual Holiday Cocoa","light","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","68","Light Impact","Casual Holiday Cocoa","light","Attack an enemy, with a 70% chance to inflict stun for 1 turn.","Single","TRUE","2","3","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Recast Turns -1","","","stun","","1","5.7","0","0","0","0","0"
"1","69","Dark Spear","Casual Holiday Akisa","dark","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","70","Dark Edge","Casual Holiday Akisa","dark","Attack an enemy twice, with an 80% chance each to remove one buff.","Single","TRUE","3","5","7","Debuff Activation +10%","DMG +10%","DMG +10%","Debuff Activation +10%","Recast Turns -1","Recast Turns -1","","","remove buff","","2","3.1","0","0","0","0","0"
"1","71","Ice Spear","Casual Holiday Ao","water","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","72","Ice Impact","Casual Holiday Ao","water","Attack an enemy, with a 75% chance to inflict stun for 1 turn.","Single","TRUE","2","3","7","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Debuff Activation +10%","DMG +10%","Recast Turns -1","","","stun","","1","5.5","0","0","0","0","0"
"1","73","Fire Spear","Casual Holiday Aka","fire","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","74","Gleaming Flame","Casual Holiday Aka","fire","Attack an enemy and inclict cut for 2 turns.","Single","TRUE","2","3","5","DMG +10%","DMG +10%","DMG +10%","Recast Turns -1","","","","","cut","","1","6.2","0","0","0","0","0"
"1","75","Lightning Spear","Casual Holiday Eliza","lightning","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","76","Rending Lightning","Casual Holiday Eliza","lightning","Attack all enemies twice.","All","TRUE","2","3","5","DMG +10%","DMG +10%","DMG +10%","Recast Turns -1","","","","","","","2","2.7","0","0","0","0","0"
"1","77","Fire Spear","Casual Holiday Lilly","fire","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","78","Fire Jamming","Casual Holiday Lilly","fire","Attack an enemy twice, with a 30% chance for each attack to inflict no recovery for 2 turns.","Single","TRUE","2","3","7","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","","no recovery","","2","3","0","0","0","0","0"
"1","79","Dark Spear","Casual Holiday Hanabi","dark","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.9","0","0","0","0","0"
"1","80","Dark Pulse","Casual Holiday Hanabi","dark","Attack all enemies, with a 25% chance to inflict stun for 1 turn.","All","TRUE","3","4","6","DMG +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Recast Turns -1","","","","stun","","1","3.8","0","0","0","0","0"
"1","81","Light Spear","Casual Holiday Marianne","light","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.8","0","0","0","0","0"
"1","82","Holy Wind Formation","Casual Holiday Marianne","light","Remove 1 debuff from all allies and restore 20% of HP.","All","FALSE","3","5","3","Recast Turns -1","Recast Turns -1","","","","","","remove debuff","","","0","0","0","0","0","0","0"
"1","83","Lightning Spear","Casual Holiday Iko","lightning","Attack an enemy, with a 75% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","","","DEF down","","1","3.8","0","0","0","0","0"
"1","84","Lightning Shockwave","Casual Holiday Iko","lightning","Attakc all enemies, with a 25% chance to inflict DEF down for 2 turns.","All","TRUE","3","4","7","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +15%","Recast Turns -1","","","DEF down","","1","4.8","0","0","0","0","0"
"1","85","Fire Thrust","Magica Round 1 Iroha","fire","Attack an enemy, with a 30% chance to inflict cut for 2 turns.","Single","TRUE","0","0","7","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","","","cut","","1","4","0","0","0","0","0"
"1","86","Melt Attack","Magica Round 1 Iroha","fire","Attack all enemies, with a 50% chance to deal ATK down for 2 turns.","All","TRUE","3","4","5","DMG +10%","DMG +10%","DMG +10%","Recast Turns -1","","","","","ATK down","","1","3.6","0","0","0","0","0"
"1","87","Heat Blast","Magica Round 1 Iroha","fire","Attack an enemy and inflicts burn for 2 turns and stun for 1 turn.","Single","TRUE","3","4","4","DMG +10%","DMG +10%","Recast Turns -1","","","","","","burn,stun","","1","6.3","0","0","0","0","0"
"1","88","Ice Thrust","Magica Round 1 Kaori","water","Attack an enemy, with a 30% chance to inflict cut for 2 turns.","Single","TRUE","0","0","7","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","","","cut","","1","4","0","0","0","0","0"
"1","89","Saint Water","Magica Round 1 Kaori","water","Restore 20% of HP to all allies and grant ATK up for 2 turns.","All","FALSE","3","5","5","Heal Amount +10%","Heal Amount +10%","Recast Turns -1","Recast Turns -1","","","","ATK up","","","0","0","0","0","0","0","0"
"1","90","Spiria Freeze","Magica Round 1 Kaori","water","Attack all enemies, with a 25% chance to inflict sleep for 1 turn.","All","TRUE","4","5","4","DMG +10%","DMG +10%","Recast Turns -1","","","","","","sleep","","1","3.8","0","0","0","0","0"
"1","91","Dark Thrust","Magica Round 1 Seira","dark","Attack an enemy, with a 30% chance to inflict cut for 2 turns.","Single","TRUE","0","0","7","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","","","cut","","1","4","0","0","0","0","0"
"1","92","Dark Wave Attack","Magica Round 1 Seira","dark","Attack an enemy and inflict stun for 1 turn.","Single","TRUE","3","4","4","DMG +5%","DMG +10%","Recast Turns -1","","","","","","stun","","1","6.5","0","0","0","0","0"
"1","93","Shadow Crush","Magica Round 1 Seira","dark","Attack all enemies, with a 70% chance to inflict RST down for 2 turns.","All","TRUE","3","5","6","DMG +10%","DMG +10%","Debuff Activation +10%","Recast Turns -1","Recast Turns -1","","","","RST down","","1","4.3","0","0","0","0","0"
"1","94","Holy Thrust","Magica Round 1 Cocoa","light","Attack an enemy, with a 30% chance to inflict cut for 2 turns.","Single","TRUE","0","0","7","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","DMG +10%","Debuff Activation +10%","","","cut","","1","4","0","0","0","0","0"
